location,year,sex,age_start,age_end,bbbm_test_count,bbbm_positive_test_count,treatment_initiation_count
Brazil,2021,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2021,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2021,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2021,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2021,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2021,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2021,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2021,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2022,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2022,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2022,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2022,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2022,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2022,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2022,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2022,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2023,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2023,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2023,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2023,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2023,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2023,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2023,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2023,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2024,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2024,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2024,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2024,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2024,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2024,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2024,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2024,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2025,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2025,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2025,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2025,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2025,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2025,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2025,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2025,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2026,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2026,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2026,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2026,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2026,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2026,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2026,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2026,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2027,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2027,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2027,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2027,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2027,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2027,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2027,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2027,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2028,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2028,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2028,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2028,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2028,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2028,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2028,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2028,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2029,Female,60.0,65.0,0.0,0.0,0.0
Brazil,2029,Female,65.0,70.0,0.0,0.0,0.0
Brazil,2029,Female,70.0,75.0,0.0,0.0,0.0
Brazil,2029,Female,75.0,80.0,0.0,0.0,0.0
Brazil,2029,Male,60.0,65.0,0.0,0.0,0.0
Brazil,2029,Male,65.0,70.0,0.0,0.0,0.0
Brazil,2029,Male,70.0,75.0,0.0,0.0,0.0
Brazil,2029,Male,75.0,80.0,0.0,0.0,0.0
Brazil,2030,Female,60.0,65.0,591008.9971042833,59100.89971042833,23640.359884171332
Brazil,2030,Female,65.0,70.0,498169.4638503564,49816.94638503564,19926.778554014258
Brazil,2030,Female,70.0,75.0,429784.4746284026,42978.44746284027,17191.378985136107
Brazil,2030,Female,75.0,80.0,303144.7438822403,30314.474388224033,12125.789755289614
Brazil,2030,Male,60.0,65.0,513961.8209238852,51396.182092388524,20558.47283695541
Brazil,2030,Male,65.0,70.0,418311.1090053246,41831.11090053246,16732.444360212987
Brazil,2030,Male,70.0,75.0,352200.3692225921,35220.03692225921,14088.014768903686
Brazil,2030,Male,75.0,80.0,236471.67604372813,23647.167604372815,9458.867041749127
Brazil,2031,Female,60.0,65.0,244665.93289609268,24466.59328960927,11254.632913220265
Brazil,2031,Female,65.0,70.0,102386.06975477473,10238.606975477473,4709.759208719637
Brazil,2031,Female,70.0,75.0,85188.74819562251,8518.874819562252,3918.6824169986357
Brazil,2031,Female,75.0,80.0,63190.74089675829,6319.074089675829,2906.7740812508814
Brazil,2031,Male,60.0,65.0,215384.59029849892,21538.459029849895,9907.691153730952
Brazil,2031,Male,65.0,70.0,86112.02936664215,8611.202936664216,3961.15335086554
Brazil,2031,Male,70.0,75.0,69730.4848608777,6973.0484860877705,3207.6023036003744
Brazil,2031,Male,75.0,80.0,49627.096152177626,4962.709615217763,2282.846423000171
Brazil,2032,Female,60.0,65.0,273184.7891216235,27318.478912162354,14205.609034324425
Brazil,2032,Female,65.0,70.0,104957.42539622552,10495.742539622552,5457.786120603727
Brazil,2032,Female,70.0,75.0,85204.28211849203,8520.428211849203,4430.622670161585
Brazil,2032,Female,75.0,80.0,65748.77443342243,6574.877443342243,3418.9362705379667
Brazil,2032,Male,60.0,65.0,241244.36953918854,24124.436953918856,12544.707216037805
Brazil,2032,Male,65.0,70.0,88491.95274225328,8849.19527422533,4601.581542597171
Brazil,2032,Male,70.0,75.0,69732.04867127514,6973.204867127514,3626.0665309063074
Brazil,2032,Male,75.0,80.0,51923.26976700509,5192.3269767005095,2700.010027884265
Brazil,2033,Female,60.0,65.0,522473.39728516986,52247.33972851699,30303.45704253985
Brazil,2033,Female,65.0,70.0,611120.9904810558,61112.09904810558,35445.017447901235
Brazil,2033,Female,70.0,75.0,500666.6663745758,50066.66663745759,29038.666649725397
Brazil,2033,Female,75.0,80.0,409623.7115086224,40962.37115086224,23758.175267500097
Brazil,2033,Male,60.0,65.0,461349.8526693137,46134.98526693138,26758.291454820195
Brazil,2033,Male,65.0,70.0,522059.00134298,52205.900134298005,30279.422077892843
Brazil,2033,Male,70.0,75.0,414746.6460887437,41474.66460887437,24055.305473147135
Brazil,2033,Male,75.0,80.0,329537.9003709583,32953.79003709584,19113.198221515584
Brazil,2034,Female,60.0,65.0,489990.81929052615,48999.08192905261,31359.41243459367
Brazil,2034,Female,65.0,70.0,211723.65795708168,21172.365795708167,13550.314109253226
Brazil,2034,Female,70.0,75.0,171905.18491359483,17190.518491359482,11001.931834470068
Brazil,2034,Female,75.0,80.0,141570.15934677346,14157.015934677347,9060.490198193502
Brazil,2034,Male,60.0,65.0,433990.31182749337,43399.03118274934,27775.379956959572
Brazil,2034,Male,65.0,70.0,180867.51463162425,18086.751463162425,11575.52093642395
Brazil,2034,Male,70.0,75.0,141941.81338698423,14194.181338698421,9084.276056766988
Brazil,2034,Male,75.0,80.0,113625.47534263716,11362.547534263716,7272.030421928777
Brazil,2035,Female,60.0,65.0,546943.4028664785,54694.34028664785,38286.03820065349
Brazil,2035,Female,65.0,70.0,214922.87525203265,21492.287525203265,15044.601267642283
Brazil,2035,Female,70.0,75.0,176255.36626245128,17625.536626245128,12337.87563837159
Brazil,2035,Female,75.0,80.0,146588.73145950265,14658.873145950265,10261.211202165186
Brazil,2035,Male,60.0,65.0,484871.83794965676,48487.18379496568,33941.02865647597
Brazil,2035,Male,65.0,70.0,184471.23056357357,18447.12305635736,12912.98613945015
Brazil,2035,Male,70.0,75.0,145864.74277174886,14586.474277174888,10210.531994022422
Brazil,2035,Male,75.0,80.0,117951.13931078246,11795.113931078246,8256.579751754773
Brazil,2036,Female,60.0,65.0,734896.3542260659,73489.6354226066,51442.74479582461
Brazil,2036,Female,65.0,70.0,717803.5422471581,71780.35422471582,50246.24795730107
Brazil,2036,Female,70.0,75.0,695475.1305819427,69547.51305819428,48683.25914073599
Brazil,2036,Female,75.0,80.0,572001.4030279217,57200.14030279216,40040.098211954515
Brazil,2036,Male,60.0,65.0,651348.6694029958,65134.866940299595,45594.40685820971
Brazil,2036,Male,65.0,70.0,622780.1768505014,62278.017685050145,43594.6123795351
Brazil,2036,Male,70.0,75.0,582868.4301332599,58286.84301332599,40800.79010932819
Brazil,2036,Male,75.0,80.0,466435.41401228815,46643.54140122881,32650.478980860167
Brazil,2037,Female,60.0,65.0,828820.3518967102,82882.03518967103,58017.42463276971
Brazil,2037,Female,65.0,70.0,514270.5625532201,51427.05625532201,35998.93937872541
Brazil,2037,Female,70.0,75.0,367877.11338966683,36787.711338966685,25751.397937276677
Brazil,2037,Female,75.0,80.0,289343.6166836853,28934.36166836853,20254.05316785797
Brazil,2037,Male,60.0,65.0,735298.0596675727,73529.80596675728,51470.864176730094
Brazil,2037,Male,65.0,70.0,448089.01204595715,44808.90120459571,31366.230843216996
Brazil,2037,Male,70.0,75.0,307030.04388127674,30703.004388127672,21492.10307168937
Brazil,2037,Male,75.0,80.0,234207.43295611316,23420.74329561132,16394.520306927923
Brazil,2038,Female,60.0,65.0,929697.1717000715,92969.71717000715,65078.802019005
Brazil,2038,Female,65.0,70.0,541763.3200670334,54176.33200670335,37923.43240469234
Brazil,2038,Female,70.0,75.0,376487.6553105532,37648.765531055324,26354.135871738727
Brazil,2038,Female,75.0,80.0,292607.2638101815,29260.726381018154,20482.508466712705
Brazil,2038,Male,60.0,65.0,825809.9604496239,82580.9960449624,57806.69723147368
Brazil,2038,Male,65.0,70.0,473919.19670279854,47391.91967027986,33174.3437691959
Brazil,2038,Male,70.0,75.0,315542.72047539474,31554.272047539474,22087.99043327763
Brazil,2038,Male,75.0,80.0,237434.34464631422,23743.434464631424,16620.404125241996
Brazil,2039,Female,60.0,65.0,1085447.1541371306,108544.71541371307,75981.30078959913
Brazil,2039,Female,65.0,70.0,770019.7167939763,77001.97167939764,53901.38017557834
Brazil,2039,Female,70.0,75.0,899297.0027537341,89929.70027537341,62950.790192761386
Brazil,2039,Female,75.0,80.0,721704.311414579,72170.43114145791,50519.30179902053
Brazil,2039,Male,60.0,65.0,965480.7760699291,96548.07760699291,67583.65432489503
Brazil,2039,Male,65.0,70.0,675937.6079948589,67593.76079948588,47315.632559640115
Brazil,2039,Male,70.0,75.0,766251.9861148222,76625.19861148222,53637.63902803755
Brazil,2039,Male,75.0,80.0,594786.8663820316,59478.686638203166,41635.08064674221
Brazil,2040,Female,60.0,65.0,1225605.8632636685,122560.58632636684,85792.41042845679
Brazil,2040,Female,65.0,70.0,821176.3012285806,82117.63012285807,57482.34108600065
Brazil,2040,Female,70.0,75.0,572585.5442790732,57258.55442790734,40080.98809953513
Brazil,2040,Female,75.0,80.0,455516.39293062984,45551.63929306299,31886.147505144087
Brazil,2040,Male,60.0,65.0,1091901.809994572,109190.18099945722,76433.12669962004
Brazil,2040,Male,65.0,70.0,722332.250188542,72233.22501885421,50563.25751319794
Brazil,2040,Male,70.0,75.0,487063.91313605313,48706.391313605316,34094.47391952372
Brazil,2040,Male,75.0,80.0,373737.7072440381,37373.77072440381,26161.63950708267
Brazil,2041,Female,60.0,65.0,1371821.3672720338,137182.13672720338,96027.49570904236
Brazil,2041,Female,65.0,70.0,875145.5979962593,87514.55979962593,61260.19185973815
Brazil,2041,Female,70.0,75.0,581336.8978423099,58133.689784230985,40693.58284896169
Brazil,2041,Female,75.0,80.0,470480.68693913484,47048.06869391349,32933.64808573944
Brazil,2041,Male,60.0,65.0,1223997.1767995385,122399.71767995387,85679.8023759677
Brazil,2041,Male,65.0,70.0,770968.4724328778,77096.84724328778,53967.79307030144
Brazil,2041,Male,70.0,75.0,497522.3874735115,49752.23874735115,34826.5671231458
Brazil,2041,Male,75.0,80.0,387459.52630093036,38745.95263009304,27122.166841065125
Brazil,2042,Female,60.0,65.0,1522424.6076175682,152242.46076175684,106569.72253322978
Brazil,2042,Female,65.0,70.0,1016779.2336793108,101677.92336793107,71174.54635755175
