location,year,sex,age_start,age_end,bbbm_test_count,bbbm_positive_test_count,treatment_initiation_count
Brazil,2042,Female,70.0,75.0,921698.627145515,92169.8627145515,64518.90390018605
Brazil,2042,Female,75.0,80.0,918683.9578859536,91868.39578859536,64307.877052016745
Brazil,2042,Male,60.0,65.0,1359952.0059945611,135995.2005994561,95196.64041961927
Brazil,2042,Male,65.0,70.0,897181.3058192306,89718.13058192306,62802.69140734614
Brazil,2042,Male,70.0,75.0,797609.766653906,79760.9766653906,55832.68366577341
Brazil,2042,Male,75.0,80.0,768418.006717101,76841.8006717101,53789.26047019706
Brazil,2043,Female,60.0,65.0,1676121.266319171,167612.1266319171,117328.48864234198
Brazil,2043,Female,65.0,70.0,1103501.0621956254,110350.10621956256,77245.07435369378
Brazil,2043,Female,70.0,75.0,824314.8732590637,82431.48732590638,57702.04112813446
Brazil,2043,Female,75.0,80.0,651263.4136487854,65126.34136487855,45588.43895541498
Brazil,2043,Male,60.0,65.0,1498436.2422702438,149843.62422702438,104890.53695891707
Brazil,2043,Male,65.0,70.0,975366.7635862532,97536.67635862532,68275.67345103771
Brazil,2043,Male,70.0,75.0,715941.4182487769,71594.14182487769,50115.899277414384
Brazil,2043,Male,75.0,80.0,543650.4150014895,54365.04150014895,38055.52905010426
Brazil,2044,Female,60.0,65.0,1829421.1553910691,182942.11553910695,128059.48087737485
Brazil,2044,Female,65.0,70.0,1197678.7986485483,119767.87986485483,83837.51590539837
Brazil,2044,Female,70.0,75.0,854163.4460988144,85416.34460988145,59791.441226917006
Brazil,2044,Female,75.0,80.0,666150.1915583857,66615.01915583858,46630.513409087005
Brazil,2044,Male,60.0,65.0,1636273.2524562099,163627.325245621,114539.1276719347
Brazil,2044,Male,65.0,70.0,1060688.4291506545,106068.84291506546,74248.19004054581
Brazil,2044,Male,70.0,75.0,744740.677709676,74474.06777096761,52131.847439677316
Brazil,2044,Male,75.0,80.0,559647.3272052812,55964.732720528125,39175.31290436968
Brazil,2045,Female,60.0,65.0,1980250.0485421391,198025.0048542139,138617.50339794974
Brazil,2045,Female,65.0,70.0,1318537.8889678293,131853.78889678293,92297.65222774805
Brazil,2045,Female,70.0,75.0,976950.0434897268,97695.0043489727,68386.50304428088
Brazil,2045,Female,75.0,80.0,1108141.914481698,110814.1914481698,77569.93401371886
Brazil,2045,Male,60.0,65.0,1771623.714942674,177162.3714942674,124013.66004598717
Brazil,2045,Male,65.0,70.0,1170248.0264451108,117024.80264451107,81917.36185115775
Brazil,2045,Male,70.0,75.0,854662.892212281,85466.2892212281,59826.40245485967
Brazil,2045,Male,75.0,80.0,946331.6298853417,94633.16298853417,66243.21409197392
Brazil,2046,Female,60.0,65.0,1806106.9657294378,180610.69657294377,126427.48760106062
Brazil,2046,Female,65.0,70.0,1168062.3698414695,116806.23698414693,81764.36588890284
Brazil,2046,Female,70.0,75.0,784980.1060831484,78498.01060831484,54948.60742582039
Brazil,2046,Female,75.0,80.0,730915.2199673381,73091.52199673382,51164.06539771367
Brazil,2046,Male,60.0,65.0,1616640.9484069939,161664.0948406994,113164.86638848955
Brazil,2046,Male,65.0,70.0,1040175.5501838087,104017.55501838087,72812.28851286661
Brazil,2046,Male,70.0,75.0,689301.2774415184,68930.12774415183,48251.08942090628
Brazil,2046,Male,75.0,80.0,627549.0705622596,62754.907056225966,43928.43493935817
Brazil,2047,Female,60.0,65.0,1876102.8342278202,187610.28342278203,131327.1983959474
Brazil,2047,Female,65.0,70.0,1291545.6505299483,129154.56505299485,90408.19553709638
Brazil,2047,Female,70.0,75.0,818112.9898038928,81811.29898038929,57267.909286272494
Brazil,2047,Female,75.0,80.0,757244.7954675221,75724.47954675222,53007.135682726555
Brazil,2047,Male,60.0,65.0,1679541.6327193223,167954.16327193222,117567.91429035255
Brazil,2047,Male,65.0,70.0,1151986.6116395814,115198.66116395815,80639.0628147707
Brazil,2047,Male,70.0,75.0,719573.6888198132,71957.36888198133,50370.158217386925
Brazil,2047,Male,75.0,80.0,654156.512178758,65415.65121787581,45790.95585251306
Brazil,2048,Female,60.0,65.0,1938526.9790999102,193852.69790999102,135696.8885369937
Brazil,2048,Female,65.0,70.0,1417679.3330319677,141767.9333031968,99237.55331223775
Brazil,2048,Female,70.0,75.0,906691.0969391195,90669.10969391195,63468.376785738365
Brazil,2048,Female,75.0,80.0,992317.7073666791,99231.77073666791,69462.23951566753
Brazil,2048,Male,60.0,65.0,1735759.442675263,173575.94426752633,121503.1609872684
Brazil,2048,Male,65.0,70.0,1266027.2799828309,126602.72799828308,88621.90959879816
Brazil,2048,Male,70.0,75.0,799247.2164849301,79924.72164849301,55947.30515394511
Brazil,2048,Male,75.0,80.0,863419.0933805838,86341.90933805838,60439.33653664087
Brazil,2049,Female,60.0,65.0,1875976.9685113588,187597.69685113587,131318.3877957951
Brazil,2049,Female,65.0,70.0,1268721.8861871427,126872.18861871425,88810.53203309998
Brazil,2049,Female,70.0,75.0,736704.1288884219,73670.41288884218,51569.28902218952
Brazil,2049,Female,75.0,80.0,795407.2818090341,79540.7281809034,55678.50972663238
Brazil,2049,Male,60.0,65.0,1680701.5908555146,168070.15908555145,117649.11135988601
Brazil,2049,Male,65.0,70.0,1134698.2808524435,113469.82808524436,79428.87965967105
Brazil,2049,Male,70.0,75.0,651947.3961133598,65194.73961133599,45636.31772793519
Brazil,2049,Male,75.0,80.0,695798.6859701304,69579.86859701303,48705.908017909125
Brazil,2050,Female,60.0,65.0,1866098.3238344393,186609.83238344395,130626.88266841075
Brazil,2050,Female,65.0,70.0,1390249.5938738226,139024.9593873823,97317.47157116758
Brazil,2050,Female,70.0,75.0,795452.5149111028,79545.25149111028,55681.676043777195
Brazil,2050,Female,75.0,80.0,838057.4120429716,83805.74120429717,58664.018843008016
Brazil,2050,Male,60.0,65.0,1673308.3216132822,167330.83216132823,117131.58251292974
Brazil,2050,Male,65.0,70.0,1243836.300110535,124383.63001105351,87068.54100773745
Brazil,2050,Male,70.0,75.0,705547.2943026193,70554.72943026193,49388.31060118335
Brazil,2050,Male,75.0,80.0,734944.6220581867,73494.46220581867,51446.12354407307
Brazil,2051,Female,60.0,65.0,1860264.101108944,186026.41011089442,130218.4870776261
Brazil,2051,Female,65.0,70.0,1510148.3009745232,151014.83009745233,105710.38106821661
Brazil,2051,Female,70.0,75.0,857957.9785678515,85795.79785678515,60057.058499749604
Brazil,2051,Female,75.0,80.0,959169.5151678452,95916.95151678452,67141.86606174917
Brazil,2051,Male,60.0,65.0,1668476.9798368253,166847.6979836825,116793.38858857776
Brazil,2051,Male,65.0,70.0,1351319.7334296699,135131.973342967,94592.38134007691
Brazil,2051,Male,70.0,75.0,762723.9213128595,76272.39213128596,53390.674491900165
Brazil,2051,Male,75.0,80.0,843182.4556297015,84318.24556297014,59022.7718940791
Brazil,2052,Female,60.0,65.0,1851825.18700717,185182.51870071702,129627.76309050189
Brazil,2052,Female,65.0,70.0,1417119.3793414307,141711.93793414306,99198.35655390014
Brazil,2052,Female,70.0,75.0,688529.359919384,68852.93599193842,48197.05519435688
Brazil,2052,Female,75.0,80.0,834927.8976023812,83492.78976023811,58444.95283216668
Brazil,2052,Male,60.0,65.0,1661542.3765820556,166154.23765820556,116307.96636074389
Brazil,2052,Male,65.0,70.0,1268514.150998648,126851.41509986481,88795.99056990535
Brazil,2052,Male,70.0,75.0,614145.5355094388,61414.553550943885,42990.18748566072
Brazil,2052,Male,75.0,80.0,736821.2819328245,73682.12819328246,51577.48973529772
Brazil,2053,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2053,Female,65.0,70.0,1473000.8654406185,147300.08654406184,103110.0605808433
Brazil,2053,Female,70.0,75.0,746389.1339231848,74638.91339231849,52247.239374622935
Brazil,2053,Female,75.0,80.0,902985.8851127576,90298.58851127577,63209.01195789303
Brazil,2053,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2053,Male,65.0,70.0,1318727.720398237,131872.77203982373,92310.9404278766
Brazil,2053,Male,70.0,75.0,666646.3902121682,66664.63902121683,46665.247314851775
Brazil,2053,Male,75.0,80.0,798426.1549690429,79842.6154969043,55889.83084783301
Brazil,2054,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2054,Female,65.0,70.0,1522878.3330083154,152287.83330083155,106601.48331058209
Brazil,2054,Female,70.0,75.0,803612.9867868184,80361.29867868184,56252.90907507728
Brazil,2054,Female,75.0,80.0,1004838.5379054022,100483.85379054022,70338.69765337816
Brazil,2054,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2054,Male,65.0,70.0,1363650.0288397977,136365.00288397976,95455.50201878583
Brazil,2054,Male,70.0,75.0,718330.9506145584,71833.09506145584,50283.16654301909
Brazil,2054,Male,75.0,80.0,890427.8164400671,89042.78164400673,62329.9471508047
Brazil,2055,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2055,Female,65.0,70.0,1519541.3444942005,151954.13444942006,106367.89411459403
Brazil,2055,Female,70.0,75.0,630699.8054912371,63069.98054912371,44148.9863843866
Brazil,2055,Female,75.0,80.0,903970.8602158374,90397.08602158375,63277.960215108615
Brazil,2055,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2055,Male,65.0,70.0,1361368.2885929667,136136.8288592967,95295.78020150767
Brazil,2055,Male,70.0,75.0,564409.7823082446,56440.97823082447,39508.684761577126
Brazil,2055,Male,75.0,80.0,804023.8381462451,80402.38381462451,56281.66867023716
Brazil,2056,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2056,Female,65.0,70.0,1511539.6423058957,151153.96423058957,105807.77496141271
Brazil,2056,Female,70.0,75.0,682997.3253328656,68299.73253328656,47809.81277330059
Brazil,2056,Female,75.0,80.0,995690.1332862873,99569.01332862876,69698.30933004012
Brazil,2056,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2056,Male,65.0,70.0,1355379.7405067584,135537.97405067587,94876.5818354731
Brazil,2056,Male,70.0,75.0,611153.1288081593,61115.31288081592,42780.71901657114
Brazil,2056,Male,75.0,80.0,887186.7506439575,88718.67506439575,62103.072545077026
Brazil,2057,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2057,Female,65.0,70.0,1506813.9218982446,150681.39218982446,105476.97453287712
Brazil,2057,Female,70.0,75.0,733974.3656077291,73397.43656077291,51378.205592541024
Brazil,2057,Female,75.0,80.0,1089917.8903436516,108991.78903436517,76294.25232405562
Brazil,2057,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2057,Male,65.0,70.0,1351466.3536678283,135146.63536678284,94602.64475674798
Brazil,2057,Male,70.0,75.0,656727.9588589101,65672.79588589101,45970.95712012372
Brazil,2057,Male,75.0,80.0,972537.9304761507,97253.7930476151,68077.65513333055
Brazil,2058,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2058,Female,65.0,70.0,1499978.4014758077,149997.84014758075,104998.48810330652
Brazil,2058,Female,70.0,75.0,653493.8831476931,65349.38831476931,45744.57182033852
Brazil,2058,Female,75.0,80.0,989732.8465488072,98973.28465488073,69281.29925841652
Brazil,2058,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2058,Male,65.0,70.0,1345849.325031465,134584.9325031465,94209.45275220255
Brazil,2058,Male,70.0,75.0,584947.1792408488,58494.71792408488,40946.30254685941
Brazil,2058,Male,75.0,80.0,884811.6166981562,88481.16166981563,61936.81316887093
Brazil,2059,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2059,Female,65.0,70.0,1493181.6416995684,149318.16416995684,104522.71491896978
Brazil,2059,Female,70.0,75.0,653089.110954458,65308.9110954458,45716.23776681206
Brazil,2059,Female,75.0,80.0,1080254.8980468726,108025.48980468724,75617.84286328105
Brazil,2059,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2059,Male,65.0,70.0,1340573.584623423,134057.3584623423,93840.15092363961
Brazil,2059,Male,70.0,75.0,584833.2263713034,58483.322637130346,40938.32584599124
Brazil,2059,Male,75.0,80.0,966202.9928428673,96620.29928428674,67634.20949900072
Brazil,2060,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2060,Female,65.0,70.0,1493181.6416995684,149318.16416995684,104522.71491896978
Brazil,2060,Female,70.0,75.0,648835.9625875719,64883.5962587572,45418.517381130034
Brazil,2060,Female,75.0,80.0,1169317.8511636476,116931.78511636477,81852.24958145534
Brazil,2060,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2060,Male,65.0,70.0,1340573.584623423,134057.3584623423,93840.15092363961
Brazil,2060,Male,70.0,75.0,581311.1782162661,58131.11782162661,40691.78247513863
Brazil,2060,Male,75.0,80.0,1046126.0874364995,104612.60874364995,73228.82612055496
Brazil,2061,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2061,Female,65.0,70.0,1493181.6416995684,149318.16416995684,104522.71491896978
Brazil,2061,Female,70.0,75.0,642683.9942073786,64268.399420737864,44987.879594516504
Brazil,2061,Female,75.0,80.0,1066488.1021935756,106648.81021935756,74654.1671535503
Brazil,2061,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2061,Male,65.0,70.0,1340573.584623423,134057.3584623423,93840.15092363961
Brazil,2061,Male,70.0,75.0,576255.8524435391,57625.58524435391,40337.90967104774
Brazil,2061,Male,75.0,80.0,954610.3136248457,95461.03136248459,66822.72195373921
Brazil,2062,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2062,Female,65.0,70.0,1493181.6416995684,149318.16416995684,104522.71491896978
Brazil,2062,Female,70.0,75.0,636566.9104087634,63656.69104087635,44559.68372861344
Brazil,2062,Female,75.0,80.0,1107819.9625831854,110781.99625831856,77547.39738082298
Brazil,2062,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2062,Male,65.0,70.0,1340573.584623423,134057.3584623423,93840.15092363961
Brazil,2062,Male,70.0,75.0,571507.6860763014,57150.76860763014,40005.5380253411
Brazil,2062,Male,75.0,80.0,991752.5387044325,99175.25387044327,69422.67770931029
Brazil,2063,Female,60.0,65.0,1843434.125555023,184343.41255550232,129040.3887888516
Brazil,2063,Female,65.0,70.0,1493181.6416995684,149318.16416995684,104522.71491896978
Brazil,2063,Female,70.0,75.0,636566.9104087634,63656.69104087635,44559.68372861344
Brazil,2063,Female,75.0,80.0,1144680.795888706,114468.0795888706,80127.65571220941
Brazil,2063,Male,60.0,65.0,1655029.1168190408,165502.91168190408,115852.03817733284
Brazil,2063,Male,65.0,70.0,1340573.584623423,134057.3584623423,93840.15092363961
